Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,37.75,37.75,36.75,37.0,35.38050842285156,12573900
2022-11-11,37.25,37.25,36.75,36.75,35.141448974609375,4745200
2022-11-14,36.75,36.75,35.5,35.75,34.185218811035156,13109700
2022-11-15,35.75,36.25,35.5,36.0,34.424278259277344,5552900
2022-11-16,35.75,36.0,35.5,35.75,34.185218811035156,3156900
2022-11-17,35.75,36.0,35.5,35.75,34.185218811035156,2601200
2022-11-18,35.75,35.75,35.0,35.0,33.468048095703125,6792300
2022-11-21,35.25,35.25,34.75,34.75,33.22898864746094,5393400
2022-11-22,34.75,34.75,34.0,34.25,32.750877380371094,9514800
2022-11-23,34.0,34.5,33.25,33.5,32.0337028503418,10618800
2022-11-24,33.5,34.5,32.5,34.25,32.750877380371094,15879500
2022-11-25,34.25,35.0,34.0,34.25,32.750877380371094,9900000
2022-11-28,34.0,34.5,33.75,34.5,32.989933013916016,3344400
2022-11-29,34.75,35.0,34.25,34.75,33.22898864746094,5328900
2022-11-30,34.75,35.0,34.5,34.75,33.22898864746094,4980800
2022-12-01,35.0,35.25,34.75,34.75,33.22898864746094,3991300
2022-12-02,34.75,34.75,34.25,34.75,33.22898864746094,3705300
2022-12-06,34.5,35.0,34.5,34.75,33.22898864746094,1907700
2022-12-07,34.75,35.0,34.5,34.75,33.22898864746094,2328000
2022-12-08,34.75,34.75,34.25,34.5,32.989933013916016,3564600
2022-12-09,34.5,34.5,34.0,34.5,32.989933013916016,2244200
2022-12-13,34.25,35.0,34.25,35.0,33.468048095703125,3298200
2022-12-14,35.0,35.5,35.0,35.0,33.468048095703125,7029900
2022-12-15,34.75,35.0,34.5,34.75,33.22898864746094,2664700
2022-12-16,34.5,34.75,34.25,34.25,32.750877380371094,1373900
2022-12-19,34.25,34.5,34.0,34.25,32.750877380371094,2123400
2022-12-20,34.25,34.25,34.0,34.0,32.511817932128906,2168400
2022-12-21,34.0,34.25,33.25,33.25,31.794647216796875,5723100
2022-12-22,33.5,33.5,33.25,33.25,31.794647216796875,2363200
2022-12-23,33.0,33.25,33.0,33.25,31.794647216796875,1200800
2022-12-26,33.25,33.5,33.0,33.25,31.794647216796875,1638800
2022-12-27,33.25,33.5,33.0,33.25,31.794647216796875,4436900
2022-12-28,33.25,33.5,33.0,33.25,31.794647216796875,2439100
2022-12-29,33.25,33.5,33.0,33.5,32.0337028503418,1431100
2022-12-30,33.5,34.0,33.25,34.0,32.511817932128906,1869400
2023-01-03,33.75,34.0,33.5,33.5,32.0337028503418,801200
2023-01-04,33.5,33.75,33.25,33.25,31.794647216796875,1882700
2023-01-05,33.25,33.25,32.5,32.75,31.316530227661133,5101300
2023-01-06,32.75,33.0,32.25,32.25,30.838417053222656,5717100
2023-01-09,32.5,32.5,31.5,31.75,30.360300064086914,6963000
2023-01-10,31.75,32.25,31.75,32.25,30.838417053222656,4240900
2023-01-11,32.75,33.0,32.0,32.0,30.59935760498047,6284700
2023-01-12,32.25,32.5,32.0,32.0,30.59935760498047,2049400
2023-01-13,32.0,32.5,32.0,32.0,30.59935760498047,3658500
2023-01-16,32.25,32.75,32.25,32.25,30.838417053222656,1777200
2023-01-17,32.5,34.0,32.25,33.75,32.27275848388672,14483000
2023-01-18,33.75,33.75,33.25,33.75,32.27275848388672,3158200
2023-01-19,33.5,33.75,33.25,33.5,32.0337028503418,2230100
2023-01-20,33.25,33.5,33.0,33.0,31.555587768554688,2508900
2023-01-23,33.25,33.25,32.75,33.0,31.555587768554688,2472900
2023-01-24,33.25,33.25,32.5,32.5,31.077472686767578,4182000
2023-01-25,32.5,33.0,32.5,33.0,31.555587768554688,2373900
2023-01-26,33.0,33.5,33.0,33.25,31.794647216796875,2686200
2023-01-27,33.25,33.5,33.25,33.5,32.0337028503418,2418400
2023-01-30,33.25,33.25,32.75,32.75,31.316530227661133,4342400
2023-01-31,33.0,33.5,32.75,33.25,31.794647216796875,3949600
2023-02-01,33.25,34.0,33.25,34.0,32.511817932128906,5595800
2023-02-02,34.0,34.25,33.25,33.5,32.0337028503418,4110000
2023-02-03,33.75,33.75,33.0,33.0,31.555587768554688,2529900
2023-02-06,33.0,33.25,33.0,33.0,31.555587768554688,722800
2023-02-07,33.0,33.25,32.75,33.0,31.555587768554688,2002900
2023-02-08,32.75,33.0,32.5,32.5,31.077472686767578,1999600
2023-02-09,32.75,32.75,32.0,32.5,31.077472686767578,2828900
