Date,Open,High,Low,Close,Adj Close,Volume
2014-11-21,35.0,37.0,32.25,32.5,27.285053253173828,234387500
2014-11-24,32.75,33.75,32.0,32.0,26.865283966064453,28320000
2014-11-25,32.25,34.75,31.5,34.75,29.174022674560547,21955500
2014-11-26,34.5,35.0,33.75,33.75,28.33448028564453,17067500
2014-11-27,33.5,34.5,33.5,33.5,28.124595642089844,7245200
2014-11-28,33.75,35.75,33.5,34.75,29.174022674560547,31071900
2014-12-01,35.25,37.0,35.25,36.25,30.433338165283203,38494000
2014-12-02,36.5,37.75,36.0,36.75,30.853105545043945,42507600
2014-12-03,36.75,36.75,36.0,36.25,30.433338165283203,7701000
2014-12-04,36.5,36.75,36.25,36.25,30.433338165283203,5985600
2014-12-08,35.5,36.25,34.25,34.5,28.964134216308594,5949200
2014-12-09,34.5,36.0,34.5,35.25,29.593791961669922,3659300
2014-12-11,34.75,35.25,33.0,34.25,28.75424575805664,3352300
2014-12-12,34.25,34.5,33.5,33.75,28.33448028564453,1874300
2014-12-15,33.5,33.5,28.75,32.0,26.865283966064453,5964000
2014-12-16,31.0,32.75,30.25,32.0,26.865283966064453,3669000
2014-12-17,31.5,33.5,31.5,33.0,27.704822540283203,1435200
2014-12-18,33.5,33.5,31.75,32.5,27.285053253173828,1503600
2014-12-19,32.5,32.5,32.0,32.25,27.075170516967773,537700
2014-12-22,32.75,34.5,32.5,34.0,28.54436492919922,1959200
2014-12-23,34.0,35.5,34.0,34.5,28.964134216308594,2696900
2014-12-24,34.75,34.75,33.25,33.25,27.91470718383789,1116900
2014-12-25,33.25,33.25,32.5,32.75,27.494935989379883,959800
2014-12-26,32.75,33.5,32.0,33.25,27.91470718383789,779400
2014-12-29,33.25,33.5,32.75,33.0,27.704822540283203,394200
2014-12-30,32.5,33.5,32.0,33.5,28.124595642089844,1036500
2015-01-05,33.25,33.5,32.75,33.0,27.704822540283203,606600
2015-01-06,32.25,32.5,31.0,31.25,26.235628128051758,2062200
2015-01-07,31.25,31.5,29.25,30.25,25.396085739135742,8869200
2015-01-08,30.25,31.25,30.25,31.25,26.235628128051758,5676100
2015-01-09,31.25,31.25,30.5,30.75,25.81585693359375,988100
2015-01-12,30.75,32.0,30.75,31.75,26.655399322509766,2497400
2015-01-13,31.75,32.75,31.5,32.75,27.494935989379883,1560100
2015-01-14,32.75,33.0,31.75,32.25,27.075170516967773,5074300
2015-01-15,32.0,32.5,31.5,32.5,27.285053253173828,1927500
2015-01-16,32.25,32.5,32.0,32.25,27.075170516967773,526400
2015-01-19,32.75,34.5,32.75,34.25,28.75424575805664,21447200
2015-01-20,34.5,34.5,33.25,33.75,28.33448028564453,10736800
2015-01-21,33.75,33.75,32.75,33.5,28.124595642089844,7116800
2015-01-22,33.5,34.25,33.5,34.0,28.54436492919922,7768200
2015-01-23,34.5,34.5,34.0,34.0,28.54436492919922,4815500
2015-01-26,34.0,34.0,32.0,34.0,28.54436492919922,5576900
2015-01-27,33.75,34.25,33.0,33.25,27.91470718383789,2850700
2015-01-28,33.0,34.0,33.0,34.0,28.54436492919922,3587200
2015-01-29,34.0,35.5,33.5,34.0,28.54436492919922,12244500
2015-01-30,34.25,34.5,34.0,34.5,28.964134216308594,3967700
2015-02-02,34.25,34.75,33.75,34.0,28.54436492919922,2647200
2015-02-03,34.25,34.5,33.75,33.75,28.33448028564453,2896400
2015-02-04,34.0,34.5,33.5,33.75,28.33448028564453,3034500
2015-02-05,33.75,34.0,33.5,33.5,28.124595642089844,3275300
2015-02-06,33.75,34.25,33.25,34.0,28.54436492919922,6009100
2015-02-09,34.0,34.25,33.75,33.75,28.33448028564453,2202200
2015-02-10,33.75,35.0,33.5,35.0,29.3839111328125,6950900
2015-02-11,35.25,35.25,34.25,35.0,29.3839111328125,5339100
