Date,Open,High,Low,Close,Adj Close,Volume
2009-08-03,28.25,29.5,28.0,29.5,20.51816749572754,1300
2009-08-04,29.25,29.25,29.25,29.25,20.344282150268555,1300
2009-08-05,29.0,29.5,29.0,29.5,20.51816749572754,5100
2009-08-06,29.0,29.5,29.0,29.5,20.51816749572754,1900
2009-08-07,29.5,29.75,29.5,29.5,20.51816749572754,5300
2009-08-10,29.75,30.0,29.75,30.0,20.865930557250977,1600
2009-08-11,30.0,31.0,30.0,30.25,21.039813995361328,4400
2009-08-13,30.5,30.5,29.25,29.5,20.51816749572754,6700
2009-08-14,29.5,30.25,29.5,29.5,20.51816749572754,7700
2009-08-17,30.0,30.0,29.25,29.25,20.344282150268555,3300
2009-08-18,29.5,29.5,29.5,29.5,20.51816749572754,200
2009-08-19,29.0,29.5,29.0,29.5,20.51816749572754,800
2009-08-20,29.5,29.5,29.5,29.5,20.51816749572754,100
2009-08-21,29.5,29.5,29.5,29.5,20.51816749572754,0
2009-08-24,29.5,29.75,29.25,29.25,20.344282150268555,9500
2009-08-25,29.25,29.25,29.0,29.0,20.170398712158203,6700
2009-08-26,29.0,29.5,29.0,29.0,20.170398712158203,8400
2009-08-27,29.25,29.5,29.25,29.25,20.344282150268555,4500
2009-08-28,29.5,29.5,29.5,29.5,20.51816749572754,9000
2009-08-31,29.75,29.75,29.75,29.75,20.692047119140625,3000
2009-09-01,29.75,29.75,29.75,29.75,20.692047119140625,1500
2009-09-02,29.75,30.75,29.75,29.75,20.692047119140625,12500
2009-09-03,29.75,29.75,29.75,29.75,20.692047119140625,53800
2009-09-04,30.0,31.0,29.75,29.75,20.692047119140625,10900
2009-09-07,29.75,29.75,29.75,29.75,20.692047119140625,0
2009-09-08,30.0,30.0,30.0,30.0,20.865930557250977,12000
2009-09-09,30.5,30.5,30.5,30.5,21.21369743347168,300
2009-09-10,30.5,30.5,30.5,30.5,21.21369743347168,0
2009-09-11,30.0,30.0,29.75,29.75,20.692047119140625,12100
2009-09-14,30.0,30.0,29.75,29.75,20.692047119140625,1200
2009-09-15,30.0,30.0,30.0,30.0,20.865930557250977,500
2009-09-16,30.0,31.5,30.0,30.0,20.865930557250977,12600
2009-09-17,30.0,30.5,30.0,30.25,21.039813995361328,4300
2009-09-18,30.25,30.25,30.25,30.25,21.039813995361328,0
2009-09-21,31.0,31.5,31.0,31.5,21.909225463867188,3600
2009-09-22,31.5,32.0,31.5,32.0,22.256994247436523,3400
2009-09-23,32.0,32.0,32.0,32.0,22.256994247436523,500
2009-09-24,31.5,31.75,31.5,31.75,22.083110809326172,2000
2009-09-25,32.0,32.0,31.0,31.25,21.73534393310547,4100
2009-09-28,31.25,31.25,31.25,31.25,21.73534393310547,0
2009-09-29,31.25,31.25,31.0,31.0,21.56146240234375,2500
2009-09-30,30.75,31.0,30.75,30.75,21.38758087158203,5600
2009-10-01,30.75,30.75,30.5,30.75,21.38758087158203,4500
2009-10-02,30.5,31.0,30.0,31.0,21.56146240234375,17500
2009-10-05,30.0,31.0,29.75,29.75,20.692047119140625,15500
2009-10-06,29.75,30.0,29.75,30.0,20.865930557250977,14400
2009-10-07,30.0,30.0,30.0,30.0,20.865930557250977,6200
2009-10-08,30.0,30.0,30.0,30.0,20.865930557250977,0
2009-10-09,30.0,30.0,30.0,30.0,20.865930557250977,0
2009-10-12,30.0,32.25,30.0,32.0,22.256994247436523,19000
2009-10-13,32.0,32.0,32.0,32.0,22.256994247436523,5800
2009-10-14,31.5,31.5,30.25,30.25,21.039813995361328,5500
2009-10-15,30.25,30.25,29.5,30.0,20.865930557250977,5600
2009-10-16,30.25,31.75,30.25,31.75,22.083110809326172,7600
2009-10-19,30.5,31.5,30.5,31.5,21.909225463867188,5500
2009-10-20,31.0,31.0,31.0,31.0,21.56146240234375,100
2009-10-21,31.0,31.0,31.0,31.0,21.56146240234375,1000
2009-10-22,31.0,31.0,31.0,31.0,21.56146240234375,1000
2009-10-26,31.0,31.0,31.0,31.0,21.56146240234375,5600
2009-10-27,31.0,31.0,31.0,31.0,21.56146240234375,0
2009-10-28,31.5,32.0,31.25,31.75,22.083110809326172,6800
2009-10-29,31.0,31.0,31.0,31.0,21.56146240234375,5000
2009-10-30,31.25,31.25,31.25,31.25,21.73534393310547,1000
2009-11-02,31.5,31.75,31.25,31.75,22.083110809326172,4500
2009-11-03,31.75,31.75,31.75,31.75,22.083110809326172,0
2009-11-04,31.5,31.5,31.25,31.25,21.73534393310547,800
2009-11-05,31.25,31.5,31.25,31.5,21.909225463867188,3800
2009-11-06,31.5,31.5,31.5,31.5,21.909225463867188,0
2009-11-09,32.0,32.5,32.0,32.5,22.60475730895996,50200
2009-11-10,32.5,32.5,32.0,32.0,22.256994247436523,5100
2009-11-11,32.5,32.5,32.5,32.5,22.60475730895996,10000
2009-11-12,32.5,32.5,32.5,32.5,22.60475730895996,0
2009-11-13,32.5,32.5,32.5,32.5,22.60475730895996,0
2009-11-16,31.25,34.0,31.0,33.0,22.952524185180664,54300
2009-11-17,33.0,33.0,33.0,33.0,22.952524185180664,0
2009-11-18,33.0,33.0,33.0,33.0,22.952524185180664,0
2009-11-19,32.0,32.0,32.0,32.0,22.256994247436523,100
2009-11-20,33.0,33.0,33.0,33.0,22.952524185180664,3000
2009-11-23,33.0,33.0,33.0,33.0,22.952524185180664,2500
2009-11-24,34.0,34.5,34.0,34.0,23.64805793762207,9500
2009-11-25,35.0,35.25,35.0,35.0,24.343585968017578,52500
2009-11-26,34.5,34.5,34.5,34.5,23.995819091796875,300
2009-11-27,34.5,34.5,34.5,34.5,23.995819091796875,3200
2009-11-30,34.5,34.5,34.5,34.5,23.995819091796875,0
2009-12-01,34.5,34.5,34.5,34.5,23.995819091796875,0
2009-12-02,34.5,34.5,34.5,34.5,23.995819091796875,0
2009-12-03,34.5,34.5,34.5,34.5,23.995819091796875,4000
2009-12-04,34.5,34.5,34.5,34.5,23.995819091796875,3400
2009-12-08,34.5,34.5,34.5,34.5,23.995819091796875,0
2009-12-09,35.0,35.5,35.0,35.5,24.691349029541016,5400
2009-12-11,34.5,35.5,34.5,35.5,24.691349029541016,3600
2009-12-14,35.5,37.0,35.5,37.0,25.734649658203125,55500
2009-12-15,37.0,37.0,37.0,37.0,25.734649658203125,0
2009-12-16,37.0,37.0,37.0,37.0,25.734649658203125,0
2009-12-17,37.5,38.0,36.0,38.0,26.43018341064453,13600
2009-12-18,39.0,39.0,39.0,39.0,27.12571144104004,103100
2009-12-21,39.25,39.25,39.0,39.0,27.12571144104004,1300
2009-12-22,37.0,39.0,37.0,39.0,27.12571144104004,1100
2009-12-23,38.0,39.0,38.0,39.0,27.12571144104004,5300
2009-12-24,50.0,50.0,39.0,39.0,27.12571144104004,3200
2009-12-25,38.5,39.0,38.5,39.0,27.12571144104004,2100
2009-12-28,39.0,39.0,39.0,39.0,27.12571144104004,0
2009-12-29,38.25,39.0,38.25,39.0,27.12571144104004,600
2009-12-30,39.0,39.0,39.0,39.0,27.12571144104004,1000
2010-01-04,39.0,39.0,39.0,39.0,27.12571144104004,2000
2010-01-05,39.0,39.0,39.0,39.0,27.12571144104004,2300
2010-01-06,39.0,39.0,39.0,39.0,27.12571144104004,7800
2010-01-07,38.75,38.75,38.5,38.75,26.951826095581055,5100
2010-01-08,38.75,38.75,38.75,38.75,26.951826095581055,0
2010-01-11,38.5,38.5,38.5,38.5,26.777944564819336,1800
2010-01-12,38.0,38.0,38.0,38.0,26.43018341064453,2500
2010-01-13,38.0,38.0,38.0,38.0,26.43018341064453,0
2010-01-14,37.5,37.5,37.5,37.5,26.082414627075195,400
2010-01-15,37.5,38.0,37.0,38.0,26.43018341064453,2100
2010-01-18,37.0,37.0,36.5,36.75,25.56076431274414,4600
2010-01-19,36.25,36.75,36.25,36.75,25.56076431274414,3000
2010-01-20,36.75,36.75,36.75,36.75,25.56076431274414,3600
2010-01-21,36.75,36.75,36.75,36.75,25.56076431274414,0
2010-01-22,35.25,36.0,35.0,35.25,24.51746940612793,3600
2010-01-25,35.5,35.5,35.5,35.5,24.691349029541016,2000
2010-01-26,36.0,36.0,35.0,35.0,24.343585968017578,17400
2010-01-27,35.0,35.0,33.5,33.5,23.300289154052734,23700
2010-01-28,33.5,33.75,33.25,33.25,23.126405715942383,10200
2010-01-29,33.0,33.0,32.75,33.0,22.952524185180664,3800
2010-02-01,33.5,33.5,33.5,33.5,23.300289154052734,2000
2010-02-02,33.5,33.5,33.5,33.5,23.300289154052734,1500
2010-02-03,33.5,33.75,33.5,33.5,23.300289154052734,6200
2010-02-04,33.5,33.5,33.5,33.5,23.300289154052734,3000
2010-02-05,33.0,33.0,33.0,33.0,22.952524185180664,5000
2010-02-08,33.0,33.0,33.0,33.0,22.952524185180664,0
2010-02-09,33.0,33.0,33.0,33.0,22.952524185180664,0
2010-02-10,33.0,33.5,33.0,33.0,22.952524185180664,17800
2010-02-11,32.75,33.0,32.75,33.0,22.952524185180664,700
2010-02-12,33.5,33.5,33.5,33.5,23.300289154052734,28000
2010-02-15,33.5,33.5,33.5,33.5,23.300289154052734,0
2010-02-16,33.0,33.0,33.0,33.0,22.952524185180664,5000
2010-02-17,33.0,33.0,33.0,33.0,22.952524185180664,0
2010-02-18,33.0,33.0,33.0,33.0,22.952524185180664,2000
2010-02-19,33.0,33.0,33.0,33.0,22.952524185180664,0
2010-02-22,33.0,33.0,33.0,33.0,22.952524185180664,0
2010-02-23,33.0,33.0,33.0,33.0,22.952524185180664,0
2010-02-24,33.0,33.0,33.0,33.0,22.952524185180664,5000
2010-02-25,33.0,33.0,33.0,33.0,22.952524185180664,0
2010-02-26,32.75,32.75,32.75,32.75,22.778642654418945,6100
2010-03-02,32.0,32.0,31.25,31.25,21.73534393310547,25500
2010-03-03,31.0,31.0,30.0,30.0,20.865930557250977,44700
2010-03-04,30.0,31.0,30.0,31.0,21.56146240234375,11400
2010-03-05,32.75,32.75,32.0,32.0,22.256994247436523,1500
2010-03-08,30.5,31.5,30.5,31.5,21.909225463867188,7100
2010-03-09,31.5,31.5,31.5,31.5,21.909225463867188,0
2010-03-10,30.5,30.75,30.5,30.5,21.21369743347168,7500
2010-03-11,30.5,31.5,30.25,31.5,21.909225463867188,18300
2010-03-12,30.5,30.5,30.0,30.25,21.039813995361328,34200
2010-03-15,31.0,31.0,31.0,31.0,21.56146240234375,2500
2010-03-16,31.0,31.0,31.0,31.0,21.56146240234375,1000
