Date,Open,High,Low,Close,Adj Close,Volume
2009-08-03,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-08-04,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-08-05,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-08-06,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-08-07,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-08-10,11.5,11.5,11.5,11.5,6.809257507324219,2000
2009-08-11,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-08-13,12.0,12.0,12.0,12.0,7.105312824249268,200
2009-08-14,12.0,12.0,12.0,12.0,7.105312824249268,0
2009-08-17,12.0,12.0,12.0,12.0,7.105312824249268,0
2009-08-18,12.0,12.0,12.0,12.0,7.105312824249268,0
2009-08-19,12.0,12.0,12.0,12.0,7.105312824249268,0
2009-08-20,11.5,11.5,11.5,11.5,6.809257507324219,2000
2009-08-21,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-08-24,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-08-25,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-08-26,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-08-27,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-08-28,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-08-31,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-09-01,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-09-02,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-09-03,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-09-04,11.199999809265137,12.0,11.199999809265137,12.0,7.105312824249268,1900
2009-09-07,12.0,12.0,12.0,12.0,7.105312824249268,0
2009-09-08,12.100000381469727,12.100000381469727,12.100000381469727,12.100000381469727,7.164523124694824,2000
2009-09-09,12.100000381469727,12.100000381469727,12.100000381469727,12.100000381469727,7.164523124694824,0
2009-09-10,11.899999618530273,11.899999618530273,11.899999618530273,11.899999618530273,7.046101093292236,500
2009-09-11,11.899999618530273,11.899999618530273,11.899999618530273,11.899999618530273,7.046101093292236,0
2009-09-14,11.199999809265137,11.800000190734863,11.199999809265137,11.800000190734863,6.98689079284668,1000
2009-09-15,12.5,12.5,12.5,12.5,7.401368141174316,2000
2009-09-16,12.5,12.5,12.5,12.5,7.401368141174316,0
2009-09-17,11.5,11.5,11.5,11.5,6.809257507324219,500
2009-09-18,12.0,12.5,12.0,12.5,7.401368141174316,19500
2009-09-21,12.5,12.5,12.5,12.5,7.401368141174316,0
2009-09-22,11.5,11.5,11.5,11.5,6.809257507324219,500
2009-09-23,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-09-24,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-09-25,11.5,11.5,11.5,11.5,6.809257507324219,900
2009-09-28,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-09-29,11.5,11.5,11.5,11.5,6.809257507324219,0
2009-09-30,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,6.631624221801758,100
