Date,Open,High,Low,Close,Adj Close,Volume
2009-08-03,39.0,39.0,39.0,39.0,24.088943481445312,300
2009-08-04,39.0,39.0,39.0,39.0,24.088943481445312,1000
2009-08-05,39.0,39.0,39.0,39.0,24.088943481445312,0
2009-08-06,39.0,39.0,39.0,39.0,24.088943481445312,500
2009-08-07,38.5,38.5,38.5,38.5,23.78011131286621,500
2009-08-10,38.5,38.5,38.5,38.5,23.78011131286621,0
2009-08-11,38.5,38.5,38.5,38.5,23.78011131286621,0
2009-08-13,38.5,38.5,38.5,38.5,23.78011131286621,0
2009-08-14,38.0,38.0,38.0,38.0,23.471275329589844,100
2009-08-17,38.0,38.0,38.0,38.0,23.471275329589844,0
2009-08-18,38.0,38.0,38.0,38.0,23.471275329589844,0
2009-08-19,38.0,38.0,38.0,38.0,23.471275329589844,0
2009-08-20,38.0,38.0,38.0,38.0,23.471275329589844,0
2009-08-21,38.0,38.0,38.0,38.0,23.471275329589844,0
2009-08-24,38.0,38.0,38.0,38.0,23.471275329589844,0
2009-08-25,38.0,38.0,38.0,38.0,23.471275329589844,0
2009-08-26,39.0,39.0,39.0,39.0,24.088943481445312,1000
2009-08-27,39.0,39.0,39.0,39.0,24.088943481445312,0
2009-08-28,39.0,39.0,39.0,39.0,24.088943481445312,0
2009-08-31,39.0,39.0,39.0,39.0,24.088943481445312,0
2009-09-01,39.0,39.0,39.0,39.0,24.088943481445312,0
2009-09-02,39.0,39.0,39.0,39.0,24.088943481445312,0
2009-09-03,39.0,39.0,39.0,39.0,24.088943481445312,0
2009-09-04,39.0,39.0,39.0,39.0,24.088943481445312,0
2009-09-07,39.0,39.0,39.0,39.0,24.088943481445312,0
2009-09-08,39.0,39.0,39.0,39.0,24.088943481445312,0
2009-09-09,39.0,39.0,39.0,39.0,24.088943481445312,0
2009-09-10,39.0,39.0,39.0,39.0,24.088943481445312,0
2009-09-11,39.0,39.0,39.0,39.0,24.088943481445312,0
2009-09-14,39.0,39.0,39.0,39.0,24.088943481445312,0
2009-09-15,39.0,39.0,39.0,39.0,24.088943481445312,0
2009-09-16,39.0,39.0,39.0,39.0,24.088943481445312,0
2009-09-17,39.0,39.0,39.0,39.0,24.088943481445312,0
2009-09-18,40.0,41.0,40.0,41.0,25.32427406311035,1000
2009-09-21,41.0,41.0,41.0,41.0,25.32427406311035,0
2009-09-22,41.0,41.0,41.0,41.0,25.32427406311035,500
2009-09-23,41.0,41.0,41.0,41.0,25.32427406311035,0
2009-09-24,41.0,41.0,41.0,41.0,25.32427406311035,0
2009-09-25,41.0,41.0,41.0,41.0,25.32427406311035,0
2009-09-28,41.0,41.0,41.0,41.0,25.32427406311035,0
2009-09-29,38.5,38.5,38.5,38.5,23.78011131286621,1000
2009-09-30,38.5,38.5,38.5,38.5,23.78011131286621,0
2009-10-01,38.5,38.5,38.5,38.5,23.78011131286621,0
2009-10-02,38.5,38.5,38.5,38.5,23.78011131286621,0
2009-10-05,38.5,38.5,38.5,38.5,23.78011131286621,0
2009-10-06,38.5,38.5,38.5,38.5,23.78011131286621,0
2009-10-07,38.5,38.5,38.5,38.5,23.78011131286621,0
2009-10-08,38.5,38.5,38.5,38.5,23.78011131286621,1000
2009-10-09,41.0,41.0,41.0,41.0,25.32427406311035,200
2009-10-12,41.0,41.0,41.0,41.0,25.32427406311035,0
2009-10-13,41.0,41.0,41.0,41.0,25.32427406311035,0
2009-10-14,38.5,39.75,38.25,39.75,24.552188873291016,8000
2009-10-15,39.75,39.75,39.75,39.75,24.552188873291016,0
2009-10-16,39.75,39.75,39.75,39.75,24.552188873291016,0
2009-10-19,39.5,39.5,39.5,39.5,24.39777374267578,100
