Symbol,open,high,low,last,change,per_change,bid,offer,volume,value
AAV,2.36,2.4,2.36,2.38,0.04,1.71,2.38,2.4,12745165,30259.96
ADVANC,208.0,209.0,206.0,207.0,0.0,0.0,207.0,208.0,5685591,1179359.16
AEONTS,159.5,159.5,157.0,157.5,-2.0,-1.25,157.0,157.5,194018,30696.24
AMATA,22.7,22.8,22.6,22.8,0.2,0.88,22.7,22.8,2093939,47663.15
AOT,65.5,66.0,65.5,65.75,0.25,0.38,65.75,66.0,28812328,1893862.45
AP,10.7,10.8,10.6,10.8,0.1,0.93,10.7,10.8,17786008,190860.18
AURA  XD,13.0,13.2,12.9,12.9,-0.1,-0.77,12.9,13.1,777718,10114.42
AWC,4.36,4.38,4.32,4.34,0.0,0.0,4.32,4.34,29631760,128839.61
BAM,9.3,9.35,8.95,9.05,-0.35,-3.72,9.05,9.1,22815744,208267.28
BANPU,5.45,5.5,5.4,5.45,0.0,0.0,5.45,5.5,28961555,157863.25
BBL,136.5,136.5,134.0,135.5,-0.5,-0.37,135.5,136.0,8706905,1176706.59
BCH  XD,19.6,19.8,19.5,19.7,0.2,1.03,19.6,19.7,5310625,104548.49
BCP,40.75,41.5,40.5,41.5,1.0,2.47,41.25,41.5,6514734,268229.55
BCPG,6.8,6.85,6.7,6.75,-0.05,-0.74,6.7,6.75,1231616,8327.59
BDMS,29.0,29.25,28.75,29.0,0.25,0.87,29.0,29.25,30001569,870004.53
BEM,8.3,8.4,8.2,8.4,0.15,1.82,8.35,8.4,36185530,301390.03
BGRIM,26.0,26.75,26.0,26.5,0.75,2.91,26.25,26.5,10179253,268571.49
BH,247.0,254.0,244.0,251.0,8.0,3.29,251.0,252.0,4079796,1017273.5
BLA,17.7,17.8,17.5,17.7,0.2,1.14,17.6,17.7,1571184,27720.65
BSRC,8.65,8.75,8.5,8.6,0.0,0.0,8.6,8.65,2020935,17373.12
BTG,24.0,24.1,23.5,23.5,-0.5,-2.08,23.4,23.5,1710402,40432.76
BTS,6.3,6.35,6.3,6.3,0.0,0.0,6.3,6.35,22931363,144900.14
BYD,3.14,3.3,3.14,3.22,0.1,3.21,3.2,3.22,13470419,43600.91
CBG,69.75,70.25,69.25,69.75,0.5,0.72,69.5,69.75,4030296,280948.17
CENTEL,43.75,44.5,43.75,44.25,0.25,0.57,44.25,44.5,1402973,62108.43
CHG  XD,2.84,2.84,2.82,2.82,-0.04,-1.4,2.82,2.84,7297933,20618.65
CK,22.6,22.7,21.8,22.1,-0.5,-2.21,22.1,22.2,7112824,156874.52
COM7,19.1,19.4,19.1,19.3,0.3,1.58,19.3,19.4,13597343,262163.45
CPALL,58.75,59.0,57.5,58.25,-0.5,-0.85,58.0,58.25,20905776,1215919.03
CPF,20.4,20.4,20.1,20.3,-0.2,-0.98,20.3,20.4,19948717,403694.58
CPN,63.0,63.5,62.5,62.75,-0.5,-0.79,62.75,63.0,5141713,323492.23
CRC  XD,31.75,32.25,31.5,32.25,0.0,0.0,32.0,32.25,20832015,665638.04
DELTA,70.0,70.75,69.5,70.0,1.0,1.45,69.75,70.0,6395855,448161.95
DOHOME,10.8,10.9,10.6,10.8,0.0,0.0,10.7,10.8,5692575,61046.64
EA,30.5,31.5,30.5,31.0,0.75,2.48,30.75,31.0,8024015,249301.76
EGCO,112.0,112.5,111.5,112.5,0.5,0.45,112.0,112.5,238928,26784.03
ERW,4.76,4.84,4.72,4.82,0.1,2.12,4.8,4.82,8413870,40395.66
FORTH,17.3,17.9,16.9,16.9,-0.2,-1.17,16.9,17.0,4171614,72290.99
GLOBAL,16.0,16.1,15.9,16.0,0.0,0.0,15.9,16.0,4714164,75458.3
GPSC,48.75,50.5,48.75,49.5,0.75,1.54,49.5,49.75,5283090,262342.48
GULF,41.5,42.0,41.25,41.25,0.25,0.61,41.25,41.5,12420552,515495.94
GUNKUL,2.6,2.66,2.58,2.6,0.0,0.0,2.6,2.62,17996891,47186.82
HANA,38.25,38.75,38.0,38.25,0.25,0.66,38.25,38.5,3294240,126466.52
HMPRO,10.5,10.6,10.4,10.5,0.1,0.96,10.4,10.5,25300064,264715.44
ICHI,17.9,18.1,17.5,17.6,-0.2,-1.12,17.6,17.7,9238810,163792.76
INTUCH,69.0,69.75,68.75,69.5,0.75,1.09,69.5,69.75,4251942,294215.72
IRPC,1.95,1.95,1.92,1.94,0.0,0.0,1.93,1.94,20355874,39433.83
ITC,22.4,22.6,20.8,21.0,-1.2,-5.41,21.0,21.1,23069143,489395.01
IVL  XD,23.5,23.6,23.3,23.4,-0.1,-0.43,23.4,23.5,9264302,217295.26
JMART,14.1,14.4,14.0,14.1,0.1,0.71,14.1,14.2,6238698,88465.73
JMT,21.1,21.3,20.7,20.9,0.0,0.0,20.8,20.9,9585544,200973.53
KBANK,130.5,131.0,130.0,131.0,0.0,0.0,130.5,131.0,8219061,1073686.21
