,Period as of,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,
1,Assets,10046.13,10813.8,13411.89
2,Liabilities,7644.39,5882.79,7734.13
3,Equity,2401.74,4931.01,5677.76
4,Paid-up Capital,1000.0,1334.0,1334.0
5,Revenue,22270.34,29603.69,29925.13
6,Profit (Loss) from Other Activities,12.81,35.6,11.93
7,Net Profit,586.1,707.86,850.03
8,EPS (Baht),58.61,0.68,0.64
9,Financial Ratio,,,
10,ROA (%),9.29,10.7,10.94
11,ROE (%),24.4,19.31,16.02
12,Net Profit Margin (%),2.65,2.39,2.84
