,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,115789.67,132069.62,125904.00,132804.57,137314.51
2,Liabilities,78723.55,90272.59,83148.41,89096.56,93685.30
3,Equity,37066.12,41797.03,42755.59,43708.02,43629.20
4,Paid-up Capital,15075.0,16160.21,16160.21,16160.21,16160.21
5,Revenue,12232.18,12444.33,13306.23,12780.63,12004.59
6,Profit (Loss) from Other Activities,3.99,-,-,-,-
7,Net Profit,6549.3,1840.62,2600.22,2724.76,1534.50
8,EPS (Baht),2.38,0.57,0.80,0.84,0.47
9,Financial Ratio,,,,,
10,ROA (%),7.47,3.70,4.51,4.52,3.52
11,ROE (%),16.6,4.67,6.15,6.30,3.51
12,Net Profit Margin (%),53.54,14.79,19.54,21.32,12.78
