,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,257588.81,281647.62,365799.4,436794.14,444912.59
2,Liabilities,167107.96,197092.37,262102.27,284420.12,279689.46
3,Equity,72194.58,62343.95,79277.25,117825.82,130819.7
4,Paid-up Capital,5161.93,5074.58,6766.11,8454.16,10018.9
5,Revenue,90048.43,72929.82,134990.1,275263.44,184087.65
6,Profit (Loss) from Other Activities,4518.34,7492.41,-5023.44,-4474.97,6295.77
7,Net Profit,-552.86,-1786.32,9851.8,40518.97,5434.06
8,EPS (Baht),-0.11,-0.35,1.59,5.65,0.62
9,Financial Ratio,,,,,
10,ROA (%),3.59,1.97,8.72,21.07,6.85
11,ROE (%),-0.71,-2.66,13.91,41.11,4.37
12,Net Profit Margin (%),1.5,-0.78,11.83,20.64,6.93
