,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,133661.74,136050.25,128453.62,141542.86,143595.95
2,Liabilities,46480.11,44587.55,40688.69,47830.07,44723.47
3,Equity,83813.43,87910.18,83845.19,89879.25,95242.27
4,Paid-up Capital,1589.2,1589.2,1589.2,1589.2,1589.2
5,Revenue,83893.22,69101.64,75791.68,93055.58,102327.27
6,Profit (Loss) from Other Activities,8641.44,2701.99,21.11,41.82,89.39
7,Net Profit,15517.17,7214.24,7936.08,12606.2,14375.27
8,EPS (Baht),0.99,0.45,0.5,0.79,0.9
9,Financial Ratio,,,,,
10,ROA (%),15.58,8.36,8.56,12.68,13.47
11,ROE (%),20.13,8.4,9.24,14.51,15.53
12,Net Profit Margin (%),19.08,11.07,11.2,14.24,14.56
