,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,111696.77,113615.76,115088.50,114128.19,112495.87
2,Liabilities,72873.59,75582.03,77389.67,76864.62,74831.55
3,Equity,38780.72,37991.4,37697.28,37261.94,37662.64
4,Paid-up Capital,15285.0,15285.0,15285.00,15285.00,15285.00
5,Revenue,20221.19,14316.16,11481.59,14801.47,17138.72
6,Profit (Loss) from Other Activities,355.32,6.41,-,-,-
7,Net Profit,5434.82,2051.09,1010.10,2436.18,3478.65
8,EPS (Baht),0.36,0.13,0.07,0.16,0.23
9,Financial Ratio,,,,,
10,ROA (%),8.29,4.04,2.91,4.53,5.81
11,ROE (%),14.63,5.34,2.67,6.50,9.29
12,Net Profit Margin (%),26.96,14.35,8.81,16.46,20.30
