,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,121692.8,130695.88,149197.56,170650.72,177036.31
2,Liabilities,83015.54,91391.8,108382.05,128483.05,124333.56
3,Equity,28144.4,27470.27,29471.16,29727.56,38128.07
4,Paid-up Capital,5213.8,5213.8,5213.8,5213.8,5213.8
5,Revenue,44421.39,44337.67,46816.24,63247.16,58228.53
6,Profit (Loss) from Other Activities,238.9,-275.61,800.15,-91.3,132.61
7,Net Profit,2331.15,2174.76,2275.7,-1244.08,1884.6
8,EPS (Baht),0.88,0.68,0.72,-0.63,0.44
9,Financial Ratio,,,,,
10,ROA (%),6.16,5.69,5.72,2.4,5.26
11,ROE (%),9.84,7.82,7.99,-4.2,5.55
12,Net Profit Margin (%),8.95,8.47,7.3,-1.42,6.33
