,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,333680.07,339778.27,347142.83,342610.92,325930.85
2,Liabilities,289419.62,293679.88,299176.69,297827.61,281495.57
3,Equity,44225.29,46098.16,47965.88,44783.04,44434.99
4,Paid-up Capital,1707.57,1707.57,1707.57,1707.57,1707.57
5,Revenue,48943.30,47366.40,48168.59,48185.10,45433.86
6,Profit (Loss) from Other Activities,-,-,-,-,-
7,Net Profit,4385.99,1608.27,3195.95,3211.58,2548.30
8,EPS (Baht),2.57,0.94,1.87,1.88,1.49
9,Financial Ratio,,,,,
10,ROA (%),1.61,0.52,1.10,1.10,0.89
11,ROE (%),10.60,3.56,6.80,6.93,5.71
12,Net Profit Margin (%),8.96,3.40,6.63,6.67,5.61
