,Period as of,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,
1,Assets,57475.09,65234.2,62500.98
2,Liabilities,41952.87,36569.83,37188.56
3,Equity,15758.79,28501.72,25134.35
4,Paid-up Capital,7500.0,9674.0,9674.0
5,Revenue,86544.62,113262.66,109131.0
6,Profit (Loss) from Other Activities,253.4,497.68,14.07
7,Net Profit,1010.52,7937.74,-1398.17
8,EPS (Baht),3.07,5.05,-0.72
9,Financial Ratio,,,
10,ROA (%),2.83,16.74,-0.37
11,ROE (%),6.41,35.87,-5.21
12,Net Profit Margin (%),0.97,7.16,-1.25
