,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,27589.6,35350.14,48592.54,48165.59,54203.61
2,Liabilities,13445.98,25134.59,30160.85,29274.86,34185.63
3,Equity,13670.32,9922.77,18076.41,18518.13,19675.06
4,Paid-up Capital,1350.0,1350.0,1350.0,1350.0,1350.0
5,Revenue,21291.05,13249.45,11635.4,18215.75,22547.24
6,Profit (Loss) from Other Activities,29.4,-20.94,-64.08,-43.57,-62.2
7,Net Profit,1744.24,-2775.11,-1733.21,398.08,1248.1
8,EPS (Baht),1.29,-2.06,-1.28,0.29,0.92
9,Financial Ratio,,,,,
10,ROA (%),8.53,-8.47,-2.66,2.64,5.27
11,ROE (%),13.13,-23.52,-12.38,2.18,6.54
12,Net Profit Margin (%),8.5,-21.87,-15.1,2.28,5.57
