,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,187021.92,239179.95,263227.82,275984.44,287097.11
2,Liabilities,146062.59,183464.98,204146.57,211099.29,216836.84
3,Equity,28249.96,53393.74,56388.47,62122.89,67059.51
4,Paid-up Capital,4700.0,6031.0,6031.0,6031.0,6031.0
5,Revenue,222486.15,194311.43,195653.81,236244.78,248688.43
6,Profit (Loss) from Other Activities,641.76,131.92,279.08,820.06,990.01
7,Net Profit,10633.26,46.27,59.37,7174.99,8016.31
8,EPS (Baht),2.26,0.01,0.01,1.19,1.33
9,Financial Ratio,,,,,
10,ROA (%),8.74,1.13,1.2,4.78,5.23
11,ROE (%),25.44,0.11,0.11,12.11,12.41
12,Net Profit Margin (%),5.56,0.18,0.14,3.22,3.43
