,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,70219.69,78483.77,85476.25,103364.34,114229.34
2,Liabilities,45353.23,48856.89,50374.53,62059.99,70219.72
3,Equity,23364.51,27811.52,32501.02,38928.97,41699.37
4,Paid-up Capital,373.0,373.0,373.0,373.0,373.0
5,Revenue,14954.54,17199.14,20558.1,27546.81,31597.76
6,Profit (Loss) from Other Activities,145.82,16.65,92.82,238.62,-492.76
7,Net Profit,6081.62,5204.57,6100.07,7604.29,7606.17
8,EPS (Baht),1.63,1.4,1.64,2.04,2.04
9,Financial Ratio,,,,,
10,ROA (%),11.44,8.97,8.93,9.49,9.21
11,ROE (%),29.31,20.34,20.23,21.29,18.87
12,Net Profit Margin (%),40.3,29.35,28.84,26.89,23.74
