,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,24426.18,25180.13,27852.97,29703.41,35305.96
2,Liabilities,3880.57,3566.52,4794.87,5841.27,6159.24
3,Equity,20545.62,21613.61,23058.09,23862.14,29146.72
4,Paid-up Capital,804.88,804.88,804.88,804.88,885.37
5,Revenue,20915.93,19672.68,24137.0,27655.51,26590.87
6,Profit (Loss) from Other Activities,334.34,135.71,-159.81,-236.32,138.25
7,Net Profit,1804.58,1907.74,1545.31,2102.07,1760.57
8,EPS (Baht),2.24,2.37,1.92,2.61,2.14
9,Financial Ratio,,,,,
10,ROA (%),7.74,7.41,6.05,7.72,5.84
11,ROE (%),8.67,9.05,6.92,8.96,6.64
12,Net Profit Margin (%),8.63,9.7,6.4,7.6,6.62
