,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,52048.96,56090.77,58586.35,65184.74,69047.89
2,Liabilities,30910.88,34525.53,35695.91,40938.86,43489.10
3,Equity,21138.08,21565.24,22890.43,24245.88,25558.78
4,Paid-up Capital,13151.20,13151.20,13151.20,13151.20,13151.20
5,Revenue,67423.88,61765.43,63925.79,69389.43,72821.77
6,Profit (Loss) from Other Activities,-,-,-,-,-
7,Net Profit,6176.59,5154.70,5440.52,6217.09,6441.56
8,EPS (Baht),0.47,0.39,0.41,0.47,0.49
9,Financial Ratio,,,,,
10,ROA (%),14.99,12.30,12.28,13.07,12.69
11,ROE (%),30.09,24.14,24.48,26.38,25.87
12,Net Profit Margin (%),9.16,8.35,8.51,8.96,8.85
