,Period as of,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,
1,Assets,14933.79,25749.59,25431.25
2,Liabilities,10602.32,3143.45,2312.39
3,Equity,4328.62,22607.21,23118.26
4,Paid-up Capital,360.0,3000.0,3000.0
5,Revenue,7192.14,22776.35,16179.5
6,Profit (Loss) from Other Activities,142.17,199.19,-32.6
7,Net Profit,1598.68,4470.18,2281.38
8,EPS (Baht),44.41,2.52,0.76
9,Financial Ratio,,,
10,ROA (%),4.68,22.55,9.48
11,ROE (%),36.93,33.19,9.98
12,Net Profit Margin (%),21.91,19.62,14.11
