,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,85409.26,88403.31,89471.09,101795.99,112813.68
2,Liabilities,65674.22,65553.04,62386.69,70220.24,76968.2
3,Equity,19707.71,22798.95,26836.36,31353.22,35681.57
4,Paid-up Capital,2578.33,2578.33,2578.33,2578.33,2578.33
5,Revenue,18979.96,18891.0,21441.67,23170.28,25281.88
6,Profit (Loss) from Other Activities,149.11,46.25,10.67,78.5,183.6
7,Net Profit,5524.07,5332.87,5878.69,7079.4,7295.39
8,EPS (Baht),2.14,2.07,2.28,2.75,2.83
9,Financial Ratio,,,,,
10,ROA (%),9.92,9.42,9.75,10.73,10.04
11,ROE (%),28.03,25.09,23.69,24.33,21.77
12,Net Profit Margin (%),29.1,28.22,27.0,30.44,28.68
