,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,928.64,3617.29,3913.04,7991.53,11027.51
2,Liabilities,362.82,451.66,843.06,4706.27,6677.62
3,Equity,486.34,2961.45,2858.62,3066.71,4138.72
4,Paid-up Capital,464.01,1674.45,1674.45,1674.45,2021.83
5,Revenue,798.52,1420.8,688.07,6616.62,9411.6
6,Profit (Loss) from Other Activities,-,11.18,-7.87,131.71,332.14
7,Net Profit,-146.66,-213.59,-106.87,208.37,725.26
8,EPS (Baht),-0.50,-0.15,-0.06,0.12,0.38
9,Financial Ratio,,,,,
10,ROA (%),-13.62,-7.76,-3.08,5.13,9.57
11,ROE (%),-32.52,-12.39,-3.67,7.03,20.13
12,Net Profit Margin (%),-17.71,-14.1,-13.82,3.67,8.11
