,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,152176.21,144979.3,207658.88,225504.39,220235.59
2,Liabilities,113468.38,107063.34,107786.68,121743.57,110727.81
3,Equity,38707.83,37823.44,99817.78,103701.08,109442.85
4,Paid-up Capital,90000.0,90000.0,120000.0,120000.0,120000.0
5,Revenue,583208.75,432848.96,515279.67,793418.24,774423.18
6,Profit (Loss) from Other Activities,927.85,108.31,837.68,534.33,546.59
7,Net Profit,10895.81,8791.07,11474.03,10370.4,11094.07
8,EPS (Baht),1.21,0.98,0.99,0.86,0.92
9,Financial Ratio,,,,,
10,ROA (%),9.59,8.09,8.76,6.54,6.69
11,ROE (%),28.15,22.97,16.67,10.19,10.41
12,Net Profit Margin (%),1.87,2.03,2.23,1.31,1.43
