,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,32079.48,33693.57,35398.44,48091.15,65230.43
2,Liabilities,21145.61,21685.57,19458.44,28157.82,44132.57
3,Equity,9656.64,11373.38,14937.09,18132.18,19051.01
4,Paid-up Capital,1226.43,1226.43,1226.43,1227.06,1227.06
5,Revenue,13663.56,10933.37,15266.93,14579.05,14095.3
6,Profit (Loss) from Other Activities,219.58,784.87,634.37,1578.1,1091.72
7,Net Profit,3027.13,2661.89,3193.93,3774.54,2718.23
8,EPS (Baht),1.24,1.09,1.3,1.54,1.11
9,Financial Ratio,,,,,
10,ROA (%),14.38,10.91,13.14,13.29,7.81
11,ROE (%),35.42,25.32,24.28,22.83,14.62
12,Net Profit Margin (%),22.99,25.28,22.12,28.89,22.42
