,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,24323.87,25855.48,27141.61,26153.78,24401.98
2,Liabilities,6300.72,6526.41,7237.81,7698.81,7892.09
3,Equity,17871.31,19224.1,19884.37,18463.74,16325.59
4,Paid-up Capital,3003.75,3003.75,3003.75,3003.75,3003.75
5,Revenue,26151.32,26129.08,27277.96,27481.87,26644.3
6,Profit (Loss) from Other Activities,199.53,225.31,263.41,314.89,145.55
7,Net Profit,3259.01,3504.31,3254.92,1933.77,2402.1
8,EPS (Baht),1.08,1.17,1.08,0.64,0.8
9,Financial Ratio,,,,,
10,ROA (%),16.74,16.3,14.88,8.94,11.72
11,ROE (%),18.13,18.89,16.65,10.09,13.81
12,Net Profit Margin (%),12.5,13.15,11.68,7.0,9.09
