,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,634733.23,749380.88,861101.03,906489.79,893600.63
2,Liabilities,306990.1,353254.84,411092.68,454065.36,452003.99
3,Equity,280215.41,320972.18,365690.73,374254.96,363961.76
4,Paid-up Capital,1200.0,1200.0,1200.0,1200.0,1200.0
5,Revenue,446826.77,407217.16,540705.96,582292.21,528531.42
6,Profit (Loss) from Other Activities,11632.06,9455.79,17542.66,10703.09,8418.82
7,Net Profit,32014.28,34143.87,47173.99,21382.35,25914.98
8,EPS (Baht),26.68,28.45,39.31,17.82,21.6
9,Financial Ratio,,,,,
10,ROA (%),7.48,7.25,8.74,3.38,4.72
11,ROE (%),11.49,11.36,13.74,5.78,7.02
12,Net Profit Margin (%),7.43,9.16,10.12,3.04,4.56
