,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,139513.05,172428.88,206823.74,197279.65,198560.67
2,Liabilities,76697.05,62588.1,84523.8,74312.91,96111.33
3,Equity,42952.05,88737.82,96837.2,97200.24,77322.25
4,Paid-up Capital,3126.0,4292.92,4292.92,4292.92,4292.92
5,Revenue,89783.61,93388.33,126436.89,147389.57,130441.11
6,Profit (Loss) from Other Activities,180.2,-155.82,374.43,197.83,118.26
7,Net Profit,5268.51,6457.48,8294.37,5800.61,5248.13
8,EPS (Baht),1.69,1.95,1.93,1.35,1.22
9,Financial Ratio,,,,,
10,ROA (%),6.13,6.26,6.8,4.83,4.35
11,ROE (%),12.27,9.81,8.94,5.98,6.01
12,Net Profit Margin (%),6.56,7.82,7.63,4.57,4.16
