,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,58330.87,93117.22,114527.09,117083.77,111737.5
2,Liabilities,32842.48,39720.3,49478.5,47897.47,43591.22
3,Equity,24119.03,38071.24,46652.13,51388.34,50340.2
4,Paid-up Capital,1536.0,1536.0,1536.0,1536.0,1536.0
5,Revenue,60602.38,75879.46,118810.58,111140.66,85140.6
6,Profit (Loss) from Other Activities,698.93,436.6,-1119.77,1347.74,-100.72
7,Net Profit,-148.54,9531.21,15846.7,4794.87,-434.37
8,EPS (Baht),-0.1,6.21,10.32,3.12,-0.28
9,Financial Ratio,,,,,
10,ROA (%),1.44,23.45,28.46,6.38,0.78
11,ROE (%),-0.61,30.65,37.41,9.78,-0.85
12,Net Profit Margin (%),-0.09,20.29,22.03,4.96,-0.54
