,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,25261.9,21334.46,24800.9,26257.18,23664.09
2,Liabilities,11683.24,6313.82,8863.62,9464.99,6762.02
3,Equity,13407.23,14837.35,15367.95,16232.71,16337.17
4,Paid-up Capital,1576.76,1578.36,1578.36,1578.36,1578.36
5,Revenue,37026.49,26290.99,27209.87,33638.39,31294.31
6,Profit (Loss) from Other Activities,599.84,195.18,-842.41,-531.31,132.94
7,Net Profit,3123.28,3591.82,2219.71,2366.51,2305.52
8,EPS (Baht),1.98,2.28,1.41,1.5,1.46
9,Financial Ratio,,,,,
10,ROA (%),15.59,19.25,13.54,12.67,12.23
11,ROE (%),24.22,25.43,14.7,14.98,14.16
12,Net Profit Margin (%),8.5,13.68,8.28,7.08,7.43
