,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,160926.56,140755.63,142734.59,157089.03,161943.65
2,Liabilities,86867.81,67987.48,68593.55,84558.42,85837.12
3,Equity,65832.97,63310.6,65113.98,66763.16,70191.49
4,Paid-up Capital,11651.3,11651.3,11651.3,11456.63,10486.17
5,Revenue,8431.61,8879.3,16198.62,15546.3,17631.64
6,Profit (Loss) from Other Activities,1025.87,6061.94,2510.58,3673.27,4930.83
7,Net Profit,10807.06,6669.03,5287.18,5219.84,6602.96
8,EPS (Baht),9.43,6.26,5.04,4.98,6.3
9,Financial Ratio,,,,,
10,ROA (%),1.04,7.31,6.29,5.84,6.19
11,ROE (%),16.43,10.33,8.23,7.92,9.64
12,Net Profit Margin (%),198.78,88.39,41.5,41.34,40.87
