,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,15706.68,16486.29,18496.6,19338.37,21278.72
2,Liabilities,5093.2,5080.88,6045.53,5854.37,6460.65
3,Equity,10688.98,11414.11,12286.79,12792.88,14071.07
4,Paid-up Capital,2029.0,2029.0,2029.0,2029.0,2029.0
5,Revenue,17092.55,16438.2,17708.04,20826.1,22479.17
6,Profit (Loss) from Other Activities,25.16,27.95,120.0,-253.9,-48.8
7,Net Profit,2162.48,2031.16,1955.05,1418.22,2569.23
8,EPS (Baht),1.07,1.0,0.96,0.7,1.27
9,Financial Ratio,,,,,
10,ROA (%),17.82,16.36,14.23,10.18,16.61
11,ROE (%),21.51,18.38,16.5,11.31,19.13
12,Net Profit Margin (%),12.53,12.32,10.88,6.89,11.73
