,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,283444.53,306187.66,362144.12,444580.86,419992.7
2,Liabilities,159521.02,186069.23,239050.04,285923.49,251681.01
3,Equity,119972.74,116228.96,120880.74,156034.3,165567.76
4,Paid-up Capital,20400.28,20400.28,20400.28,22338.36,22338.36
5,Revenue,366055.04,249027.83,345985.96,530451.37,470582.84
6,Profit (Loss) from Other Activities,3333.3,9789.99,-4691.91,751.54,-2553.37
7,Net Profit,6276.68,-3301.41,12578.03,32668.14,19443.17
8,EPS (Baht),3.08,-1.62,6.17,15.63,8.7
9,Financial Ratio,,,,,
10,ROA (%),4.01,0.36,5.59,11.38,6.56
11,ROE (%),5.19,-2.8,10.61,23.59,12.09
12,Net Profit Margin (%),1.78,-1.16,3.76,6.24,4.16
