,Period as of,Y/E 2020 31 Mar 2020,Y/E 2021 31 Mar 2021,Y/E 2022 31 Mar 2022,Y/E 2023 31 Mar 2023,9M/2024 31 Dec 2023
0,Financial Data,,,,,
1,Assets,17076.95,20970.23,40848.3,33634.9,28453.79
2,Liabilities,3999.29,3906.98,10865.59,2983.45,3221.07
3,Equity,12783.9,16591.69,29133.39,28128.16,23344.38
4,Paid-up Capital,861.12,861.12,861.12,1119.45,1119.45
5,Revenue,4249.76,3243.85,4426.15,5774.48,4262.83
6,Profit (Loss) from Other Activities,179.02,338.43,-194.02,-438.18,-639.9
7,Net Profit,1423.94,979.77,-120.26,-64.88,-3539.82
8,EPS (Baht),0.17,0.11,-0.01,-0.01,-0.32
9,Financial Ratio,,,,,
10,ROA (%),5.92,5.85,-0.46,-0.6,-12.77
11,ROE (%),10.75,6.67,-0.53,-0.23,-14.74
12,Net Profit Margin (%),30.68,27.95,-6.24,-8.1,-86.6
